A股代码,证券简称,上市日期
600000,浦发银行,19991110
600004,白云机场,20030428
600006,东风汽车,19990727
600007,中国国贸,19990312
600008,首创环保,20000427
600009,上海机场,19980218
600010,包钢股份,20010309
600011,华能国际,20011206
600012,皖通高速,20030107
600015,华夏银行,20030912
600016,民生银行,20001219
600017,日照港,20061017
600018,上港集团,20000719
600019,宝钢股份,20001212
600020,中原高速,20030808
600021,上海电力,20031029
600022,山东钢铁,20040629
600023,浙能电力,20131219
600025,华能水电,20171215
600026,中远海能,20020523
600027,华电国际,20050203
600028,中国石化,20010808
600029,南方航空,20030725
600030,中信证券,20030106
600031,三一重工,20030703
600032,浙江新能,20210525
600033,福建高速,20010209
600035,楚天高速,20040310
600036,招商银行,20020409
600037,歌华有线,20010208
600038,中直股份,20001218
600039,四川路桥,20030325
600048,保利发展,20060731
600050,中国联通,20021009
600051,宁波联合,19970410
600052,东望时代,19970415
600053,九鼎投资,19970418
600054,黄山旅游,19970506
600055,万东医疗,19970519
600056,中国医药,19970515
600057,厦门象屿,19970604
600058,五矿发展,19970528
600059,古越龙山,19970516
600060,海信视像,19970422
600061,国投资本,19970519
600062,华润双鹤,19970522
600063,皖维高新,19970528
600064,南京高科,19970506
600066,宇通客车,19970508
600067,冠城大通,19970508
600070,ST富润,19970604
600071,凤凰光学,19970528
600072,中船科技,19970603
600073,上海梅林,19970704
600075,新疆天业,19970617
600076,康欣新材,19970526
600078,ST澄星,19970627
600079,人福医药,19970606
600080,金花股份,19970612
600081,东风科技,19970703
600082,海泰发展,19970620
600083,博信股份,19970606
600084,中信尼雅,19970711
600085,同仁堂,19970625
600088,中视传媒,19970616
600089,特变电工,19970618
600094,大名城,19970703
600095,湘财股份,19970708
600096,云天化,19970709
600097,开创国际,19970619
600098,广州发展,19970718
600099,林海股份,19970704
600100,同方股份,19970627
600101,明星电力,19970627
600103,青山纸业,19970703
600104,上汽集团,19971125
600105,永鼎股份,19970929
600106,重庆路桥,19970618
600107,美尔雅,19971106
600108,亚盛集团,19970818
600109,国金证券,19970807
600110,诺德股份,19971007
600111,北方稀土,19970924
600112,ST天成,19971127
600113,浙江东日,19971021
600114,东睦股份,20040511
600115,中国东航,19971105
600116,三峡水利,19970804
